x,vectime,listtime,vecgain
1034,325000,1155366,830366
1035,280733,1183866,903133
1036,384466,1282566,898100
1037,323000,1171000,848000
1038,278066,1081166,803100
1039,427200,1240533,813333
1040,319900,1169566,849666
1041,282066,1125833,843767
1042,522433,1289066,766633
1043,330233,1243466,913233
1044,449866,1337733,887867
1045,320500,1201100,880600
1046,327866,1309700,981834
1047,304600,1380233,1075633
1048,314766,1463133,1148367
1049,471533,1277866,806333
1050,331966,1244733,912767
1051,309400,1209433,900033
1052,530633,1440766,910133
1053,475566,1275466,799900
1054,370300,1794633,1424333
1055,650333,1966566,1316233
1056,668266,1641233,972967
1057,615066,1591466,976400
1058,720200,1698233,978033
1059,342433,1350600,1008167
1060,338033,1547500,1209467
1061,501033,1537966,1036933
1062,492933,1488366,995433
1063,517100,1562433,1045333
1064,531933,1495300,963367
1065,488700,1682933,1194233
1066,449733,1580233,1130500
1067,627066,1683466,1056400
1068,557800,1568233,1010433
1069,481200,1828566,1347366
1070,442333,1761700,1319367
1071,610433,1508500,898067
1072,364666,1639700,1275034
1073,681933,1734566,1052633
1074,682333,1566366,884033
1075,350833,1382366,1031533
1076,381766,1522466,1140700
1077,505566,1423866,918300
1078,388400,1703566,1315166
1079,377000,1693300,1316300
1080,390433,1407466,1017033
1081,324666,1351400,1026734
1082,370566,1384866,1014300
1083,329766,1278300,948534
1084,372600,1348200,975600
1085,373633,1385966,1012333
1086,367033,1324766,957733
1087,342033,1470266,1128233
1088,393066,1377466,984400
1089,313533,1315666,1002133
1090,321233,1359600,1038367
1091,421200,1563000,1141800
1092,531966,1425366,893400
1093,364166,1405866,1041700
1094,376900,1412100,1035200
1095,319833,1327300,1007467
1096,330566,1341766,1011200
1097,324200,1321066,996866
1098,369900,1488133,1118233
1099,511866,1417466,905600
1100,398266,1366766,968500
1101,321033,1419166,1098133
1102,364600,1399200,1034600
1103,388966,1404966,1016000
1104,379000,1364200,985200
1105,316200,1309566,993366
1106,359366,1564333,1204967
1107,376300,1390466,1014166
1108,335966,1401566,1065600
1109,530733,1577466,1046733
1110,580366,1677766,1097400
1111,533133,1604566,1071433
1112,791933,1850233,1058300
1113,571333,1708333,1137000
1114,365100,1545466,1180366
1115,605433,1547433,942000
1116,363800,1522100,1158300
1117,402733,1742800,1340067
1118,543566,1479466,935900
1119,499766,1637133,1137367
1120,495666,1625566,1129900
1121,415400,1579533,1164133
1122,445500,1768833,1323333
1123,576066,1786500,1210434
1124,503566,1783500,1279934
1125,421200,1769333,1348133
1126,354366,1519433,1165067
1127,452000,1747400,1295400
1128,683033,1671766,988733
1129,534400,1676766,1142366
1130,625366,1884966,1259600
1131,604400,1666033,1061633
1132,627333,1609233,981900
1133,468666,1559233,1090567
1134,431233,1647633,1216400
1135,358000,1541800,1183800
1136,425266,1806166,1380900
1137,659833,1700533,1040700
1138,361300,1492800,1131500
1139,425633,1660533,1234900
1140,558133,1654466,1096333
1141,496700,1493533,996833
1142,784833,1934033,1149200
1143,394466,1575900,1181434
1144,374966,1554733,1179767
1145,415533,1558400,1142867
1146,339100,1530300,1191200
1147,336666,1492800,1156134
1148,412100,1566400,1154300
1149,387400,1652900,1265500
1150,316366,1529100,1212734
1151,638233,1407700,769467
1152,359566,1455400,1095834
1153,494033,1588600,1094567
1154,462566,1443733,981167
1155,314033,1695033,1381000
1156,477900,1850433,1372533
1157,439166,1562633,1123467
1158,458333,1378066,919733
1159,551033,1644633,1093600
1160,475333,1447533,972200
1161,330466,1515833,1185367
1162,566800,1651100,1084300
1163,508666,1391000,882334
1164,315433,1394266,1078833
1165,314400,1603466,1289066
1166,483700,1423400,939700
1167,317266,1373966,1056700
1168,516800,1605100,1088300
1169,480533,1469000,988467
1170,320400,1412633,1092233
1171,602766,1712500,1109734
1172,381300,1511366,1130066
1173,326366,1410200,1083834
1174,625400,1629866,1004466
1175,410300,1670966,1260666
1176,596400,1512100,915700
1177,526600,1590700,1064100
1178,455900,1737333,1281433
1179,407700,1421466,1013766
1180,726600,1668766,942166
1181,387400,1437600,1050200
1182,327700,1484300,1156600
1183,345266,1585866,1240600
1184,445233,1488300,1043067
1185,326800,1660500,1333700
1186,393800,1622166,1228366
1187,390266,1535500,1145234
1188,318133,1431400,1113267
1189,358800,1443733,1084933
1190,487000,1776366,1289366
1191,428033,1517566,1089533
1192,326666,1442366,1115700
1193,410433,1677500,1267067
1194,366966,1524000,1157034
1195,589900,1781900,1192000
